log_file,activity_count,users,resources,selectivity_level,selectivity,detection_time
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,800,5,111,low,0.26846846846846845,6.4631
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1000,5,135,high,0.015282651072124757,1.4306
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1000,5,135,medium,0.06323586744639376,2.3548999999999998
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1000,5,135,low,0.27688109161793373,8.706700000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1200,5,157,high,0.01314113308749581,1.706
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1200,5,157,medium,0.06811934294334562,3.3926000000000003
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1200,5,157,low,0.2714046262152196,9.5883
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1400,5,175,high,0.011789473684210527,1.9004
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1400,5,175,medium,0.06941353383458647,3.3491999999999997
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1400,5,175,low,0.2796992481203007,11.2204
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1600,5,190,high,0.010969529085872577,2.2859
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1600,5,190,medium,0.07385041551246538,4.2217
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1600,5,190,low,0.28116343490304707,12.1786
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1800,5,204,high,0.010165118679050568,2.416
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1800,5,204,medium,0.07920536635706914,4.637700000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,1800,5,204,low,0.278844169246646,13.322
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,2000,5,214,high,0.009591736350221348,2.5458
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,2000,5,214,medium,0.07693064436792917,5.1302
results/logs/activity-log_1000actions_files4folders2_2024-10-09T21:29:39Z-2024-10-09T22:11:40Z.csv,2000,5,214,low,0.2797835710772258,14.7076
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,200,5,43,high,0.04602203182374541,0.5499
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,200,5,43,medium,0.05018359853121175,0.6226
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,200,5,43,low,0.20318237454100369,1.6856000000000002
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,400,5,64,high,0.030921052631578946,0.8843
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,400,5,64,medium,0.05180921052631579,0.9621000000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,400,5,64,low,0.23782894736842106,3.3470999999999997
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,600,5,89,high,0.023063276167947958,1.1299
